#Timestamp (LOCAL_TIME),TT66.BTV.660524:SCREEN
2016-08-16 03:00:06.677,16332.00
2016-08-16 03:00:07.678,14368.00
2016-08-16 03:00:08.679,12405.00
2016-08-16 03:00:09.679,10441.00
2016-08-16 03:00:10.680,8707.00
2016-08-16 03:00:11.681,8500.00
2016-08-16 03:12:57.258,8646.00
2016-08-16 03:12:58.259,10318.00
2016-08-16 03:12:59.259,11500.00
2016-08-16 03:18:30.509,12681.00
2016-08-16 03:18:31.510,14644.00
2016-08-16 03:18:32.511,16000.00
2016-08-16 03:24:09.765,16469.00
2016-08-16 03:24:10.765,18360.00
2016-08-16 03:24:11.766,20324.00
2016-08-16 03:24:12.767,22288.00
2016-08-16 03:24:13.767,23400.00
2016-08-16 03:29:49.046,24760.00
2016-08-16 03:29:50.046,26724.00
2016-08-16 03:29:51.047,28687.00
2016-08-16 03:29:52.048,30651.00
2016-08-16 03:29:53.049,32434.00
2016-08-16 03:35:34.305,33252.00
2016-08-16 03:35:35.306,35170.00
2016-08-16 03:35:36.307,37133.00
2016-08-16 03:35:37.307,39097.00
2016-08-16 03:35:38.308,41060.00
2016-08-16 03:35:39.309,43024.00
2016-08-16 03:35:40.310,44988.00
2016-08-16 03:35:41.310,46951.00
2016-08-16 03:35:42.311,48915.00
2016-08-16 03:35:43.312,50377.00
2016-08-16 05:35:44.727,50400.00
2016-08-16 07:35:45.111,50400.00
2016-08-16 09:35:45.467,50400.00
2016-08-16 11:35:45.872,50400.00
2016-08-16 13:35:46.261,50400.00
2016-08-16 15:35:46.627,50400.00
2016-08-16 16:56:19.268,50205.00
2016-08-16 16:56:20.269,48482.00
2016-08-16 16:56:21.270,46518.00
2016-08-16 16:56:22.270,44555.00
2016-08-16 16:56:23.271,42591.00
2016-08-16 16:56:24.272,40627.00
2016-08-16 16:56:25.273,38664.00
2016-08-16 16:56:26.273,36700.00
2016-08-16 16:56:27.274,34737.00
2016-08-16 16:56:28.275,32773.00
2016-08-16 16:56:29.276,30809.00
2016-08-16 16:56:30.276,28846.00
2016-08-16 16:56:31.277,26882.00
2016-08-16 16:56:32.278,24919.00
2016-08-16 16:56:33.279,22955.00
2016-08-16 16:56:34.279,20992.00
2016-08-16 16:56:35.280,19028.00
2016-08-16 16:56:36.281,17064.00
2016-08-16 16:56:37.282,15101.00
2016-08-16 16:56:38.282,13137.00
2016-08-16 16:56:39.283,11174.00
2016-08-16 16:56:40.284,9210.00
2016-08-16 16:56:41.285,7246.00
2016-08-16 16:56:42.285,5283.00
2016-08-16 16:56:43.286,3319.00
2016-08-16 16:56:44.287,1355.00
2016-08-16 16:56:45.288,1.00
2016-08-16 18:56:45.704,1.00
2016-08-16 19:34:37.420,1360.00
2016-08-16 19:34:38.421,3324.00
2016-08-16 19:34:39.421,5287.00
2016-08-16 19:34:40.422,7251.00
2016-08-16 19:34:41.423,8500.00
2016-08-16 19:37:38.556,9207.00
2016-08-16 19:37:39.557,11156.00
2016-08-16 19:37:40.558,13120.00
2016-08-16 19:37:41.558,15083.00
2016-08-16 19:37:42.559,17047.00
2016-08-16 19:37:43.560,19010.00
2016-08-16 19:37:44.561,20974.00
2016-08-16 19:37:45.561,22882.00
2016-08-16 19:37:46.562,23400.00
2016-08-16 20:03:48.745,23040.00
2016-08-16 20:03:49.746,21198.00
2016-08-16 20:03:50.747,19234.00
2016-08-16 20:03:51.747,17900.00
2016-08-16 22:03:52.160,17900.00
2016-08-16 22:41:08.838,16660.00
2016-08-16 22:41:09.839,14697.00
2016-08-16 22:41:10.840,12733.00
2016-08-16 22:41:11.840,10770.00
2016-08-16 22:41:12.841,8905.00
2016-08-16 22:41:13.842,8500.00
2016-08-16 22:45:51.050,8612.00
